coin_id,ts_utc,price,market_cap,total_volume
bitcoin,2025-06-03 00:03:46,105883.83175718882,2104348666963.3425,26369691008.5916
bitcoin,2025-06-03 01:03:23,106303.2642325292,2112742301485.3064,26856259659.902794
bitcoin,2025-06-03 02:03:10,106415.39805223339,2114076811463.8499,27225957676.11177
bitcoin,2025-06-03 03:02:40,105912.22235567383,2104975692484.3062,27643998243.71892
bitcoin,2025-06-03 04:03:28,105559.5709498075,2098233880056.1719,27218488129.22646
bitcoin,2025-06-03 05:03:32,105281.7096124612,2092250274730.6226,27512256022.523643
bitcoin,2025-06-03 06:03:23,105408.1550399723,2094502401193.1926,28071487130.40497
bitcoin,2025-06-03 07:04:01,105376.81746448038,2093679084492.1606,28133440875.217403
bitcoin,2025-06-03 08:02:24,105235.80522810307,2091894513982.1614,27633093311.048042
bitcoin,2025-06-03 09:03:22,105056.7992005663,2087360661833.0364,27932593433.595303
bitcoin,2025-06-03 10:03:22,105264.2351143675,2092055700529.0461,26624622330.22235
bitcoin,2025-06-03 11:00:45,105320.2424303424,2093072700100.8508,23457252748.705444
bitcoin,2025-06-03 12:03:52,105311.32831121249,2092866687837.0662,25293604294.866627
bitcoin,2025-06-03 13:03:24,105355.58820250632,2093841436724.1555,24815854810.778233
bitcoin,2025-06-03 14:03:32,105535.61997192288,2096988330776.2283,24698715628.078667
bitcoin,2025-06-03 15:03:56,106136.14262079,2109016473297.8735,24942046432.85381
bitcoin,2025-06-03 16:03:49,106723.28639087187,2120977924896.9663,26170145731.546818
bitcoin,2025-06-03 17:04:48,106181.7181167179,2110480983053.605,26784325786.08647
bitcoin,2025-06-03 18:03:33,105959.60861064511,2105832254961.2288,24242811377.85449
bitcoin,2025-06-03 19:08:25,106061.04647803256,2107790330356.5303,26908170275.989506
bitcoin,2025-06-03 20:03:30,106277.44088744238,2112302767117.2627,27145566384.598278
bitcoin,2025-06-03 21:04:00,105835.64102101928,2103383827184.6272,27290656082.363388
bitcoin,2025-06-03 22:03:53,105547.55081894307,2097643053433.8535,27217071370.405235
bitcoin,2025-06-03 23:01:43,105861.43112119468,2104530574433.3708,26282823034.553883
bitcoin,2025-06-04 00:04:10,105430.86066799659,2095337142150.1892,25728727074.632504
bitcoin,2025-06-04 01:03:40,105410.06700957082,2094769856317.524,25628997991.222458
bitcoin,2025-06-04 02:01:08,105613.321033883,2098820081955.042,25262422286.52763
bitcoin,2025-06-04 03:04:21,105577.08330468582,2098229849539.337,24838556482.794006
bitcoin,2025-06-04 04:02:49,105640.83579860737,2099826212653.526,22520532645.51715
bitcoin,2025-06-04 05:03:23,105481.7041495444,2096408438668.6348,24049154053.375576
bitcoin,2025-06-04 06:03:26,105447.5957079321,2095678182439.6536,24758321021.22059
bitcoin,2025-06-04 07:03:48,105392.25055909126,2094638844345.3013,24950408208.82043
bitcoin,2025-06-04 08:01:33,105407.10634156673,2094945424711.455,24727368073.75544
bitcoin,2025-06-04 09:03:49,105513.53836423514,2097128086150.7874,24629670035.60082
bitcoin,2025-06-04 10:03:13,105760.43175456114,2101344211556.3022,25431359764.781746
bitcoin,2025-06-04 11:03:22,105743.91929315783,2101528686452.6602,25711357584.815033
bitcoin,2025-06-04 12:03:23,105281.38636030082,2092528800887.3704,25057114312.524685
bitcoin,2025-06-04 13:03:38,105024.79619693328,2087251067261.5166,28445006263.638466
bitcoin,2025-06-04 14:03:45,104956.67962695676,2087507792562.914,28455188892.538795
bitcoin,2025-06-04 15:03:34,104892.18949513155,2084566134693.7341,28405617117.71668
bitcoin,2025-06-04 16:04:05,105446.22839142571,2096260134494.174,25398631488.773777
bitcoin,2025-06-04 17:03:44,105465.20103829549,2095668991115.6423,27326872770.12449
bitcoin,2025-06-04 18:01:03,105130.27736663017,2089440518743.8416,26950250803.258404
bitcoin,2025-06-04 19:03:44,105081.49665184232,2088621693598.601,26796255267.125767
bitcoin,2025-06-04 20:03:22,105046.66272948279,2087970668667.5051,26262059083.34572
bitcoin,2025-06-04 21:03:50,104713.93690550917,2081507059062.1726,26325980718.08258
bitcoin,2025-06-04 22:01:22,104988.53940657886,2086644837015.872,26245600461.241364
bitcoin,2025-06-04 23:03:28,104893.31963210164,2084690742763.0437,26017731234.623657
bitcoin,2025-06-05 00:04:06,104803.00653561577,2083007176175.2754,25734349492.796528
bitcoin,2025-06-05 01:03:54,104969.96988276378,2085922866371.0508,25555939504.54898
bitcoin,2025-06-05 02:03:50,104845.46369945056,2083904942303.0168,25256772974.135075
bitcoin,2025-06-05 03:03:51,105155.14023932912,2090350616997.214,25360869944.873695
bitcoin,2025-06-05 04:14:28,105041.31459778977,2086760024094.7485,25283287004.481503
bitcoin,2025-06-05 05:03:08,105205.79476428934,2091285029468.6357,24759936487.7468
bitcoin,2025-06-05 06:03:36,104712.53512436998,2081955850338.8914,24599582098.226505
bitcoin,2025-06-05 07:03:59,104523.62839526946,2077405768172.2488,24557882885.186676
bitcoin,2025-06-05 08:02:21,104539.26508580917,2077690676936.2698,24829730511.23654
bitcoin,2025-06-05 09:03:56,104655.89818941445,2079969596895.338,24831623677.015396
bitcoin,2025-06-05 10:03:25,104891.01615811103,2084450188188.0708,24255923944.703968
bitcoin,2025-06-05 11:01:41,104674.14217198468,2080132771431.02,24182109849.450726
bitcoin,2025-06-05 12:03:38,104850.2493595431,2083828655173.6724,21989779875.640934
bitcoin,2025-06-05 13:00:24,105677.91848447545,2100322460861.1272,21955577767.868656
bitcoin,2025-06-05 14:03:46,104889.52753735597,2084788313874.537,23561150767.60385
bitcoin,2025-06-05 15:03:48,104536.3237933925,2077515205174.4116,21767963279.645916
bitcoin,2025-06-05 16:03:50,104683.41826234531,2081283979429.8801,23683509367.610134
bitcoin,2025-06-05 17:03:33,103670.3463119395,2062811592323.9614,24905370588.706047
bitcoin,2025-06-05 18:03:54,103369.38946279231,2054442667347.3928,26124036321.828125
bitcoin,2025-06-05 19:03:40,103019.09520471051,2047975867204.6936,27868479197.284184
bitcoin,2025-06-05 20:03:55,102237.4351484742,2033388561618.4763,30907179007.910103
bitcoin,2025-06-05 21:03:44,100983.60135527559,2006941236958.819,34312269058.701477
bitcoin,2025-06-05 22:03:38,101404.92497261042,2015731095466.3247,37413073904.94432
bitcoin,2025-06-05 23:03:53,101578.2036315807,2018919530735.6782,38747330608.35644
bitcoin,2025-06-06 00:03:37,101597.8403831928,2019404422336.5076,39656044986.75208
bitcoin,2025-06-06 01:03:25,101803.78708476748,2022591096460.2874,40561246507.72127
bitcoin,2025-06-06 02:03:34,101888.07537069664,2025017432464.9941,41076092609.502266
bitcoin,2025-06-06 03:03:28,101939.83225404494,2024322983692.37,41503293790.335266
bitcoin,2025-06-06 04:03:51,102506.29434569468,2037260663497.5837,38797158779.565956
bitcoin,2025-06-06 05:03:25,102768.22736413717,2042272122218.15,39528251795.02669
bitcoin,2025-06-06 06:03:39,102910.60619731266,2044735619317.5762,42987380606.8265
bitcoin,2025-06-06 07:03:36,103190.05782068217,2050367711430.8228,43224015256.293976
bitcoin,2025-06-06 08:03:31,103193.03599234115,2051916949581.1785,43677498123.13462
bitcoin,2025-06-06 09:03:38,103565.41714829578,2058432884397.263,44218587293.201416
bitcoin,2025-06-06 10:03:22,103676.230888142,2060388429411.108,44530124545.492584
bitcoin,2025-06-06 11:03:44,103695.69127704465,2060964437872.75,44806938127.18324
bitcoin,2025-06-06 12:03:48,104004.36320058013,2067094518938.7695,45622989585.658226
bitcoin,2025-06-06 13:03:48,103912.68290846425,2065397477102.8625,45991318394.20554
bitcoin,2025-06-06 14:03:45,104271.9983989326,2072419943449.0051,45971385168.50351
bitcoin,2025-06-06 15:03:44,104761.48797964276,2082059507537.1167,44451634013.759605
bitcoin,2025-06-06 16:04:03,105066.03741127625,2087796772663.5198,45244325490.28844
bitcoin,2025-06-06 17:04:04,104983.6936615671,2087271989299.93,44729539451.22555
bitcoin,2025-06-06 18:03:47,104796.37355480397,2080570617438.6414,44318083303.409615
bitcoin,2025-06-06 19:03:45,104600.5831454065,2078895979567.3145,42441073586.11252
bitcoin,2025-06-06 20:03:44,104262.10724250386,2072252860230.4502,39781462758.07382
bitcoin,2025-06-06 21:03:39,104540.18371612598,2076929654486.5676,35805220130.303604
bitcoin,2025-06-06 22:03:49,104468.274174957,2076371905064.5051,32256129343.831398
bitcoin,2025-06-06 23:03:43,104461.5344281458,2075861677248.137,31039062202.54331
